رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,سایپا,۳۰,۱۵,۱۱,۴,۴۵,۳۱,۱۴+,۵۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۸
۲,استقلال اهواز,۳۰,۱۶,۶,۸,۳۳,۲۸,۵+,۵۴,
۳,پرسپولیس,۳۰,۱۴,۱۱,۵,۴۹,۳۳,۱۶+,۵۳,
۴,استقلال,۳۰,۱۴,۱۰,۶,۳۹,۳۰,۹+,۵۲,
۵,سپاهان,۳۰,۱۴,۷,۹,۴۱,۲۸,۱۳+,۴۹,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۸۱
۶,ابومسلم,۳۰,۱۱,۱۰,۹,۴۰,۳۶,۴+,۴۳,
۷,پیکان,۳۰,۱۱,۸,۱۱,۳۷,۴۲,۵−,۴۱,
۸,ذوب‌آهن,۳۰,۱۰,۹,۱۱,۳۹,۴۲,۳−,۳۹,
۹,مس,۳۰,۸,۱۲,۱۰,۳۵,۳۹,۴−,۳۶,
۱۰,فجر سپاسی,۳۰,۷,۱۳,۱۰,۲۹,۳۲,۳−,۳۴,
۱۱,پاس,۳۰,۷,۱۳,۱۰,۳۶,۳۶,۰,۳۴,کسر ۱ امتیاز۲
۱۲,برق شیراز,۳۰,۸,۹,۱۳,۳۵,۴۵,۱۰−,۳۳,
۱۳,صبا,۳۰,۷,۱۱,۱۲,۲۸,۳۱,۳−,۳۲,
۱۴,ملوان,۳۰,۷,۱۱,۱۲,۲۱,۳۰,۹−,۳۲,
۱۵,فولاد,۳۰,۵,۱۳,۱۲,۲۴,۳۳,۹−,۲۸,پلی آف سقوط به لیگ آزادگان ۸۷–۱۳۸۶
۱۶,راه‌آهن,۳۰,۲,۱۴,۱۴,۳۰,۴۵,۱۵−,۲۰,پلی آف سقوط به لیگ آزادگان ۸۷–۱۳۸۶
