بازیکن,پاس گل,تیم
علیرضا واحدی نیکبخت,۸,پیروزی
ایوان پتروویچ,۸,ابومسلم
مهدی رجب زاده,۷,ذوب آهن
مهرداد کریمیان,۶,برق شیراز
امید شریفی نسب,۶,سایپا
آدریانو آلوز,۵,مس کرمان
هاشم بیگ زاده,۵,فجر سپاسی
فریدون فضلی,۵,استقلال اهواز
میلاد میداودی,۵,استقلال اهواز
رابرت ساها,۵,پیروزی
احمد تقوی,۵,راه آهن
داریوش یزدانی,۵,سایپا
