رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,استقلال,۳۰,۱۶,۱۱,۳,۴۴,۱۷,۲۷+,۵۹,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۷
۲,پاس,۳۰,۱۶,۱۰,۴,۵۴,۲۹,۲۵+,۵۸,
۳,سایپا,۳۰,۱۳,۱۳,۴,۴۱,۲۱,۲۰+,۵۲,
۴,صبا,۳۰,۱۳,۱۱,۶,۳۵,۳۱,۴+,۵۰,
۵,ابومسلم,۳۰,۱۲,۱۰,۸,۳۱,۲۳,۸+,۴۶,
۶,ذوب‌آهن,۳۰,۱۲,۱۰,۸,۴۱,۳۰,۱۱+,۴۶,کسر ۱ امتیاز۳
۷,سپاهان,۳۰,۱۲,۷,۱۱,۳۸,۳۲,۶+,۴۳,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۷۱
۸,فولاد,۳۰,۱۱,۸,۱۱,۳۰,۴۱,۱۱−,۴۱,
۹,فجر سپاسی,۳۰,۸,۱۲,۱۰,۲۷,۳۳,۶−,۳۶,
۱۰,ملوان,۳۰,۱۰,۶,۱۴,۲۹,۳۸,۹−,۳۶,
۱۱,استقلال اهواز,۳۰,۹,۸,۱۳,۴۲,۴۴,۲−,۳۵,
۱۲,راه‌آهن,۳۰,۹,۷,۱۴,۲۷,۴۳,۱۶−,۳۴,
۱۳,پرسپولیس,۳۰,۹,۱۱,۱۰,۳۹,۴۰,۱−,۳۸,کسر ۶ امتیاز۲
۱۴,برق شیراز,۳۰,۶,۱۰,۱۴,۲۳,۳۷,۱۴−,۲۸,
۱۵,شموشک,۳۰,۴,۱۱,۱۵,۱۹,۳۹,۲۰−,۲۳,سقوط به لیگ آزادگان ۸۶–۱۳۸۵
۱۶,شهید قندی,۳۰,۴,۷,۱۹,۲۱,۴۳,۲۲−,۱۹,سقوط به لیگ آزادگان ۸۶–۱۳۸۵
