گلزنان,Unnamed: 1,تیم
رضا عنایتی,۲۱,استقلال
فریدون فضلی,۱۷,استقلال اهواز
مهدی رجب زاده,۱۴,ذوب آهن
جواد کاظمیان,۱۱,پرسپولیس
علی دایی,۱۱,صبا باتری
سیاوش اکبرپور,۱۱,استقلال تهران
رسول خطیبی,۱۰,سپاهان
حسین بادامکی,۱۰,ابومسلم
علی انصاریان,۹,پرسپولیس
هادی اصغری,۸,راه آهن
آرش برهانی,۸,پاس
سهراب بختیاری زاده,۸,صبا باتری
محمد غلامیان,۸,ملوان
