0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,مسلم,برق,است,اهواز,ملو,شمک,پاس,قند,پرس,راه,صبا,سای,سپا,فول,فجر,ذوب
ابومسلم,,۱–۰,۱–۰,۱–۰,۱–۲,۱–۰,۰–۱,۲–۱,۱–۱,۲–۰,۰–۰,۱–۰,۰–۱,۵–۱,۰–۰,۱–۳
برق شیراز,۱–۱,,۱–۳,۰–۱,۲–۰,۳–۰,۱–۳,۱–۰,۰–۱,۱–۰,۲–۲,۰–۰,۱–۰,۰–۱,۰–۰,۲–۱
استقلال,۰–۰,۴–۱,,۱–۰,۳–۳,۱–۱,۰–۰,۱–۰,۱–۰,۳–۰,۴–۱,۰–۰,۲–۱,۴–۱,۰–۰,۳–۰
استقلال اهواز,۱–۰,۱–۱,۰–۲,,۱–۱,۲–۳,۱–۲,۳–۲,۲–۲,۳–۲,۱–۰,۰–۱,۱–۳,۴–۲,۲–۱,۱–۱
ملوان,۱–۰,۱–۰,۲–۳,۳–۲,,۱–۰,۱–۱,۲–۰,۱–۳,۰–۱,۰–۰,۱–۴,۱–۰,۱–۰,۲–۰,۳–۱
شموشک نوشهر,۰–۰,۱–۱,۰–۱,۱–۱,۰–۰,,۱–۰,۱–۰,۲–۱,۱–۱,۱–۲,۱–۲,۰–۰,۱–۲,۰–۰,۰–۰
پاس,۲–۰,۰–۰,۱–۰,۱–۳,۳–۰,۱–۰,,۱–۱,۲–۱,۲–۲,۰–۰,۱–۱,۴–۴,۷–۱,۴–۲,۳–۱
شهید قندی یزد,۱–۳,۱–۱,۰–۱,۲–۲,۱–۰,۲–۰,۰–۲,,۰–۲,۱–۱,۱–۱,۰–۰,۰–۱,۰–۰,۱–۲,۱–۵
پرسپولیس,۲–۲,۲–۱,۰–۰,۱–۰,۴–۱,۲–۱,۱–۰,۱–۰,,۱–۱,۲–۲,۰–۰,۲–۳,۲–۳,۲–۴,۱–۱
راه‌آهن,۰–۲,۱–۱,۱–۲,۳–۱,۱–۰,۲–۱,۱–۳,۰–۱,۰–۰,,۱–۰,۱–۰,۲–۱,۱–۲,۰–۰,۰–۲
صبا باتری,۱–۰,۱–۰,۱–۱,۰–۴,۳–۲,۲–۰,۲–۴,۱–۰,۲–۱,۱–۰,,۱–۱,۳–۱,۱–۱,۰–۱,۱–۱
سایپا,۱–۱,۶–۰,۰–۰,۲–۱,۱–۰,۲–۱,۱–۳,۱–۰,۲–۲,۶–۱,۱–۲,,۲–۲,۱–۱,۱–۱,۰–۰
سپاهان,۱–۱,۱–۰,۱–۰,۲–۲,۰–۰,۴–۰,۱–۱,۱–۰,۲–۰,۱–۳,۰–۲,۰–۱,,۲–۰,۳–۰,۲–۰
فولاد,۱–۱,۲–۱,۰–۰,۳–۲,۱–۰,۰–۰,۰–۰,۲–۰,۱–۰,۰–۱,۰–۱,۰–۱,۱–۰,,۳–۰,۰–۰
فجر سپاسی,۰–۱,۰–۰,۰–۳,۰–۰,۱–۰,۴–۱,۰–۲,۱–۲,۲–۲,۳–۰,۱–۱,۰–۲,۱–۰,۲–۰,,۰–۰
ذوب‌آهن,۱–۲,۲–۱,۱–۱,۱–۰,۱–۰,۱–۱,۳–۰,۴–۳,۳–۰,۲–۰,۰–۱,۰–۱,۲–۰,۳–۱,۱–۱,
