0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,پرس,سپا,گل‌گ,فول,مس.ر,ذوب,آ.اراک,پیک,صنآ,هوا,نسا,تراک,نمس,ملو,مس
استقلال,,۲–۲,۰–۲,۲–۱,۱–۱,۰–۰,۲–۰,۰–۰,۰–۰,۱–۱,۶–۱,۳–۱,۷–۱,۳–۱,۴–۰,۱–۰
پرسپولیس,۱–۰,,۰–۱,۴–۰,۰–۰,۱–۰,۱–۰,۰–۰,۰–۰,۲–۰,۰–۱,۵–۱,۰–۱,۳–۰,۳–۰,۱–۰
سپاهان,۲–۱,۰–۰,,۴–۱,۰–۱,۲–۰,۲–۱,۰–۰,۴–۰,۱–۰,۳–۱,۲–۱,۴–۲,۴–۰,۱–۱,۲–۰
گل‌گهر سیرجان,۱–۲,۰–۲,۲–۲,,۲–۲,۲–۲,۱–۰,۰–۱,۲–۱,۰–۱,۲–۱,۰–۱,۲–۱,۴–۰,۱–۰,۱–۱
فولاد,۰–۲,۱–۰,۰–۱,۱–۲,,۰–۰,۱–۱,۲–۲,۱–۱,۰–۰,۰–۰,۲–۰,۳–۲,۱–۰,۱–۰,۰–۰
مس رفسنجان,۱–۲,۰–۱,۰–۰,۰–۰,۲–۰,,۰–۰,۰–۰,۲–۰,۴–۰,۲–۱,۱–۱,۱–۰,۱–۰,۰–۰,۱–۰
ذوب‌آهن,۰–۱,۰–۰,۱–۱,۱–۰,۲–۰,۰–۰,,۱–۰,۱–۰,۲–۲,۳–۳,۱–۰,۱–۳,۵–۱,۱–۱,۱–۰
آلومینیوم اراک,۰–۱,۰–۱,۱–۱,۰–۰,۰–۱,۲–۱,۰–۰,,۰–۰,۳–۱,۰–۱,۳–۱,۰–۲,۰–۰,۱–۰,۲–۰
پیکان,۰–۲,۰–۱,۱–۰,۰–۱,۰–۲,۱–۱,۰–۰,۰–۰,,۰–۰,۱–۱,۰–۰,۰–۱,۰–۰,۱–۰,۱–۰
صنعت نفت,۰–۱,۱–۲,۰–۲,۰–۱,۰–۰,۱–۱,۱–۱,۰–۱,۱–۱,,۰–۱,۴–۰,۱–۳,۱–۲,۱–۱,۲–۱
هوادار,۰–۱,۱–۳,۱–۲,۱–۱,۰–۰,۰–۱,۱–۰,۱–۱,۰–۱,۰–۱,,۱–۱,۰–۱,۱–۱,۱–۰,۱–۱
نساجی,۱–۱,۰–۴,۰–۱,۱–۲,۲–۱,۱–۱,۰–۰,۰–۰,۱–۱,۰–۲,۱–۱,,۲–۰,۴–۰,۲–۲,۲–۰
تراکتور,۲–۰,۲–۳,۱–۰,۲–۲,۱–۰,۰–۱,۱–۱,۰–۰,۱–۰,۱–۰,۰–۰,۱–۰,,۳–۲,۱–۱,۰–۰
نفت م.س,۰–۰,۱–۲,۰–۲,۰–۵,۱–۴,۰–۰,۱–۰,۰–۱,۱–۲,۰–۰,۰–۰,۲–۲,۱–۵,,۵–۱,۳–۲
ملوان,۱–۳,۰–۱,۰–۰,۱–۲,۳–۱,۰–۴,۱–۱,۱–۱,۱–۰,۲–۱,۱–۲,۱–۰,۱–۱,۱–۰,,۰–۰
مس کرمان,۲–۳,۱–۳,۱–۲,۲–۲,۱–۱,۰–۲,۰–۰,۱–۱,۳–۰,۲–۰,۰–۱,۲–۱,۱–۳,۲–۰,۰–۰,
