#,داوران,تعداد قضاوت,کارت قرمز
۱,بیژن حیدری,۱۲,۴
۲,امیر عرب‌براقی,۱۲,۳
۳,موعود بنیادی‌فر,۱۲,۲
۴,پیام حیدری,۱۱,۳
۵,وحید کاظمی,۱۱,۳
۶,کوپال ناظمی,۱۱,۰
۷,امیرسامان سلطانی,۱۰,۰
۸,حسن اکرمی,۱۰,۰
۹,حمید حاج‌ملک,۸,۲
۱۰,رضا مهدوی,۸,۱
۱۱,یاسر همرنگ,۸,۱
۱۲,محمدحسین زاهدی‌فر,۸,۱
۱۳,اشکان خورشیدی,۷,۲
۱۴,محمدحسین ترابیان,۷,۱
۱۵,عباس راکی,۷,۰
۱۶,احمد محمدی,۶,۲
۱۷,سعاد وفاپیشه,۶,۲
۱۸,مرتضی منصوریان,۶,۱
۱۹,مهدی سیدعلی,۶,۱
۲۰,حسین زیاری,۶,۰
۲۱,علی‌اصغر مومنی,۵,۰
۲۲,علی صفایی,۴,۳
