0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,داماش,است,اس.خ,فجر,فول,گستر,ملو,مس,نفت,پرس,راه,صبا,سای,سپا,ترا,ذوب
داماش گیلان,,۱–۲,۰–۰,۱–۳,۱–۲,۱–۲,۰–۳,۱–۱,۱–۱,۰–۱,۱–۱,۲–۱,۱–۱,۱–۱,۱–۰,۵–۱
استقلال,۱–۰,,۱–۰,۱–۰,۲–۰,۰–۰,۱–۰,۱–۱,۰–۱,۰–۰,۳–۱,۱–۰,۲–۰,۱–۲,۱–۳,۱–۱
استقلال خوزستان,۱–۱,۲–۰,,۰–۰,۰–۲,۳–۱,۰–۲,۰–۰,۲–۴,۰–۱,۳–۲,۱–۰,۰–۰,۰–۲,۱–۴,۲–۰
فجر سپاسی,۲–۲,۲–۴,۲–۱,,۰–۰,۰–۰,۲–۱,۱–۱,۰–۱,۱–۱,۰–۱,۱–۲,۰–۱,۲–۱,۰–۰,۰–۰
فولاد,۳–۱,۰–۱,۳–۲,۱–۰,,۱–۱,۱–۰,۱–۰,۰–۲,۲–۱,۰–۰,۲–۰,۴–۱,۰–۰,۲–۱,۱–۰
گسترش فولاد,۰–۲,۱–۲,۱–۱,۲–۰,۰–۱,,۱–۲,۰–۰,۱–۲,۱–۰,۵–۰,۰–۱,۱–۲,۱–۱,۱–۲,۲–۰
ملوان,۰–۰,۴–۲,۲–۱,۳–۱,۱–۲,۲–۱,,۲–۱,۲–۰,۰–۱,۰–۱,۲–۱,۰–۳,۲–۳,۱–۱,۱–۲
مس کرمان,۱–۱,۱–۱,۱–۱,۱–۲,۲–۲,۱–۲,۱–۳,,۰–۱,۰–۶,۲–۰,۰–۰,۲–۲,۰–۰,۱–۱,۰–۰
نفت تهران,۰–۰,۱–۱,۰–۰,۲–۰,۱–۱,۴–۱,۰–۰,۱–۰,,۱–۰,۲–۱,۱–۲,۲–۱,۲–۲,۳–۰,۰–۱
پرسپولیس,۲–۰,۰–۰,۰–۰,۱–۰,۳–۱,۱–۰,۱–۰,۲–۰,۰–۰,,۲–۲,۳–۱,۱–۰,۲–۰,۱–۰,۲–۱
راه‌آهن,۱–۰,۰–۱,۱–۰,۰–۰,۰–۱,۱–۲,۰–۰,۰–۰,۱–۳,۰–۱,,۰–۰,۰–۰,۱–۱,۱–۲,۰–۱
صبای قم,۳–۲,۱–۲,۱–۱,۳–۰,۰–۱,۲–۲,۱–۰,۲–۲,۱–۲,۱–۱,۲–۱,,۰–۰,۰–۱,۱–۳,۲–۱
سایپا,۲–۳,۰–۱,۱–۱,۰–۰,۰–۰,۱–۱,۱–۲,۱–۰,۰–۰,۱–۰,۰–۳,۲–۱,,۰–۰,۳–۳,۱–۰
سپاهان,۲–۰,۰–۰,۳–۱,۳–۰,۲–۰,۰–۰,۱–۲,۰–۰,۱–۰,۲–۰,۰–۰,۲–۱,۲–۲,,۰–۱,۱–۰
تراکتور,۰–۰,۱–۱,۱–۰,۰–۰,۲–۲,۱–۱,۲–۲,۰–۰,۱–۰,۱–۰,۰–۳,۱–۱,۱–۰,۱–۲,,۲–۲
ذوب‌آهن,۲–۱,۲–۰,۰–۱,۰–۱,۰–۰,۰–۰,۱–۱,۱–۱,۳–۲,۰–۰,۲–۳,۱–۱,۰–۰,۰–۱,۲–۴,
