رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,فولاد,۳۰,۱۶,۹,۵,۳۶,۲۴,۱۲+,۵۷,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۵
۲,پرسپولیس,۳۰,۱۶,۸,۶,۳۴,۱۵,۱۹+,۵۵,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۵ کسر یک امتیاز
۳,نفت تهران,۳۰,۱۵,۹,۶,۳۹,۲۳,۱۶+,۵۴,پلی‌آف لیگ قهرمانان آسیا ۲۰۱۵
۴,سپاهان,۳۰,۱۴,۱۲,۴,۳۶,۲۰,۱۶+,۵۴,
۵,استقلال,۳۰,۱۵,۹,۶,۳۴,۲۵,۹+,۵۳,کسر یک امتیاز
۶,تراکتورسازی,۳۰,۱۱,۱۳,۶,۳۹,۳۳,۶+,۴۵,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۵ کسر یک امتیاز
۷,ملوان,۳۰,۱۳,۶,۱۱,۴۰,۳۳,۷+,۴۴,کسر یک امتیاز
۸,سایپا,۳۰,۷,۱۴,۹,۲۶,۳۱,۵−,۳۵,
۹,صبا,۳۰,۸,۹,۱۳,۳۲,۳۸,۶−,۳۳,
۱۰,گسترش فولاد,۳۰,۷,۱۱,۱۲,۳۱,۳۴,۳−,۳۲,
۱۱,راه‌آهن,۳۰,۷,۱۰,۱۳,۲۵,۳۴,۹−,۳۱,
۱۲,استقلال خوزستان,۳۰,۶,۱۱,۱۳,۲۶,۳۷,۱۱−,۲۹,
۱۳,ذوب‌آهن,۳۰,۶,۱۱,۱۳,۲۴,۳۶,۱۲−,۲۹,
۱۴,فجر سپاسی,۳۰,۶,۱۱,۱۳,۲۰,۳۴,۱۴−,۲۹,پلی‌آف لیگ آزادگان ۹۴–۱۳۹۳
۱۵,داماش,۳۰,۵,۱۲,۱۳,۳۰,۴۰,۱۰−,۲۶,سقوط به لیگ آزادگان ۹۴–۱۳۹۳
۱۶,مس,۳۰,۱,۱۹,۱۰,۲۱,۳۶,۱۵−,۲۲,سقوط به لیگ آزادگان ۹۴–۱۳۹۳ کسر یک امتیاز
