بازیکن,Unnamed: 1,Unnamed: 2,Unnamed: 3,تیم
محمد رضا خلعتبری,۱۰,۱,۰,ذوب آهن
محمد مطوری,۱۰,۰,۱,پیام
محسن ارزانی,۸,۱,۰,پیام
علیرضا جلیلی,۹,۰,۰,پیام
مرتضی برگی زر,۹,۰,۰,پیام
محمد آقامحمدی,۹,۰,۰,استقلال اهواز
میثم خسروی,۹,۰,۰,پیکان
آدریانو آلوز,۹,۰,۰,داماش گیلان
محسن بنگر,۷,۱,۰,سپاهان
امید خورج,۵,۱,۲,پاس همدان
حنیف عمرانزاده,۷,۱,۰,پاس همدان
علیرضا واحدی نیکبخت,۷,۰,۱,پیروزی
مازیار زارع,۸,۰,۰,پیروزی
