0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
میزبان ╲ میهمان,مسلم,برق,است,اهواز,ملو,مس,پاس,پیک,پیا,داماش,پرس,راه,صبا,سای,سپا,فول,فجر,ذوب
ابومسلم,,۱–۱,۰–۲,۰–۱,۲–۲,۱–۱,۲–۱,۱–۰,۱–۱,۳–۲,۴–۳,۰–۰,۱–۰,۰–۰,۱–۲,۱–۲,۱–۲,۴–۰
برق شیراز,۲–۲,,۱–۴,۰–۳,۳–۰,۴–۱,۲–۰,۱–۲,۰–۱,۱–۱,۱–۱,۰–۱,۱–۲,۱–۲,۱–۱,۱–۱,۱–۲,۱–۲
استقلال,۲–۰,۱–۱,,۶–۰,۳–۰,۲–۱,۱–۰,۳–۲,۵–۰,۴–۲,۱–۱,۲–۱,۲–۱,۱–۱,۱–۱,۰–۱,۵–۲,۲–۰
استقلال اهواز,۱–۳,۱–۰,۰–۳,,۳–۰,۱–۰,۰–۰,۲–۳,۱–۰,۱–۱,۲–۱,۱–۱,۱–۱,۳–۱,۱–۳,۰–۱,۱–۱,۰–۲
ملوان,۰–۰,۱–۰,۲–۲,۱–۰,,۱–۰,۲–۱,۱–۱,۰–۱,۱–۱,۲–۲,۰–۱,۱–۱,۲–۲,۱–۱,۳–۰,۱–۰,۱–۱
مس کرمان,۳–۱,۲–۱,۱–۰,۴–۰,۱–۰,,۲–۰,۴–۰,۳–۳,۱–۰,۱–۱,۲–۱,۳–۱,۱–۱,۲–۱,۳–۲,۲–۰,۲–۲
پاس همدان,۲–۱,۱–۰,۲–۴,۵–۱,۰–۰,۱–۱,,۲–۰,۱–۰,۳–۳,۰–۳,۱–۰,۰–۰,۲–۱,۰–۰,۰–۰,۱–۱,۲–۲
پیکان,۲–۰,۱–۰,۱–۱,۱–۰,۳–۱,۱–۱,۱–۰,,۲–۰,۲–۰,۲–۲,۰–۱,۰–۱,۰–۲,۰–۱,۰–۱,۲–۲,۱–۲
پیام,۱–۰,۱–۲,۰–۱,۲–۱,۲–۰,۱–۲,۱–۴,۱–۱,,۳–۲,۱–۲,۲–۱,۱–۱,۱–۳,۲–۲,۱–۲,۰–۱,۱–۳
داماش گیلان,۱–۰,۳–۱,۱–۰,۲–۴,۲–۱,۲–۲,۱–۰,۱–۰,۱–۱,,۱–۲,۲–۲,۱–۲,۱–۱,۱–۱,۰–۱,۱–۱,۲–۱
پرسپولیس,۱–۰,۳–۱,۱–۱,۱–۰,۰–۲,۰–۱,۳–۱,۲–۱,۱–۰,۲–۰,,۲–۰,۲–۲,۱–۱,۳–۲,۱–۰,۱–۲,۲–۲
راه‌آهن,۳–۰,۳–۰,۱–۵,۲–۲,۱–۰,۰–۱,۲–۱,۱–۴,۰–۰,۱–۰,۱–۲,,۱–۱,۱–۲,۰–۱,۲–۱,۰–۰,۰–۱
صبای قم,۱–۰,۲–۲,۳–۱,۲–۰,۳–۰,۱–۳,۳–۱,۱–۱,۰–۰,۲–۲,۲–۰,۱–۱,,۲–۰,۱–۱,۱–۱,۲–۰,۰–۰
سایپا,۰–۰,۲–۲,۰–۲,۳–۲,۲–۱,۱–۱,۱–۳,۰–۱,۱–۲,۴–۱,۰–۱,۱–۰,۲–۴,,۱–۱,۳–۲,۰–۲,۱–۰
سپاهان,۲–۱,۱–۰,۲–۱,۲–۱,۰–۰,۱–۰,۲–۲,۲–۴,۳–۲,۱–۱,۰–۰,۲–۰,۲–۰,۲–۰,,۲–۰,۰–۰,۱–۲
فولاد,۰–۰,۳–۱,۰–۰,۰–۲,۰–۱,۲–۲,۵–۱,۲–۲,۳–۰,۳–۰,۳–۲,۲–۳,۲–۲,۱–۱,۲–۲,,۰–۱,۴–۱
فجر سپاسی,۰–۰,۰–۱,۴–۱,۱–۰,۲–۲,۲–۰,۰–۱,۱–۲,۰–۱,۱–۱,۱–۰,۱–۳,۱–۱,۰–۰,۱–۰,۰–۱,,۰–۲
ذوب‌آهن,۰–۳,۲–۱,۱–۱,۱–۱,۳–۰,۱–۰,۲–۱,۲–۰,۲–۰,۲–۱,۳–۱,۱–۰,۲–۲,۶–۳,۲–۱,۲–۲,۳–۱,
