رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,استقلال,۳۴,۱۹,۹,۶,۷۰,۳۴,۳۶+,۶۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۰
۲,ذوب‌آهن,۳۴,۱۹,۹,۶,۵۸,۴۲,۱۶+,۶۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۰
۳,مس,۳۴,۱۷,۱۰,۷,۵۴,۳۶,۱۸+,۶۱,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۰
۴,سپاهان,۳۴,۱۴,۱۴,۶,۴۶,۳۴,۱۲+,۵۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۰۱
۵,پرسپولیس,۳۴,۱۵,۱۰,۹,۵۰,۴۱,۹+,۵۵,
۶,صبا,۳۴,۱۲,۱۷,۵,۴۹,۳۶,۱۳+,۵۳,
۷,فولاد,۳۴,۱۳,۱۱,۱۰,۵۰,۴۱,۹+,۵۰,
۸,پیکان,۳۴,۱۳,۸,۱۳,۴۳,۴۲,۱+,۴۷,
۹,فجر سپاسی,۳۴,۱۱,۱۱,۱۲,۳۳,۳۷,۴−,۴۴,
۱۰,سایپا,۳۴,۱۰,۱۲,۱۲,۴۳,۵۰,۷−,۴۲,
۱۱,راه‌آهن,۳۴,۱۱,۸,۱۵,۳۵,۴۱,۶−,۴۱,
۱۲,پاس,۳۴,۱۰,۱۰,۱۴,۴۰,۴۷,۷−,۴۰,
۱۳,ملوان,۳۴,۹,۱۳,۱۲,۳۱,۴۳,۱۲−,۴۰,
۱۴,استقلال اهواز,۳۴,۱۰,۷,۱۷,۳۷,۵۴,۱۷−,۳۷,
۱۵,ابومسلم,۳۴,۸,۱۱,۱۵,۳۴,۴۱,۷−,۳۵,
۱۶,پیام,۳۴,۹,۸,۱۷,۳۳,۵۲,۱۹−,۳۵,سقوط به لیگ آزادگان ۸۹–۱۳۸۸
۱۷,داماش,۳۴,۶,۱۳,۱۵,۴۰,۵۶,۱۶−,۳۱,سقوط به لیگ آزادگان ۸۹–۱۳۸۸
۱۸,برق شیراز,۳۴,۵,۹,۲۰,۳۵,۵۴,۱۹−,۲۴,سقوط به لیگ آزادگان ۸۹–۱۳۸۸
